...1,TREE_COMPOSITE_ID,PLOT_COMPOSITE_ID,SPCD,PLOT,SUBP,COUNTYCD,STATECD,PLT_CN,INVYR,CYCLE,MEASYEAR,TREE_CN,COND_CN,CONDID,STATUSCD,DIA,COND_STATUS_CD,LAT,LON,BALIVE,SICOND,DSTRBCD1,DSTRBYR1,DSTRBCD2,DSTRBYR2,DSTRBCD3,DSTRBYR3,SDIMAX_RMRS,SDI_RMRS,SLOPE,ASPECT,CONDPROP_UNADJ,RECONCILECD,TPA_UNADJ,MORTYR,DAMAGE_AGENT_CD1,DAMAGE_AGENT_CD2,DAMAGE_AGENT_CD3,AGENTCD,PREV_STATUS_CD,ADFORCD
38,16_1_35_82730_1_4,16_1_35_82730,108,82730,1,35,16,4722783010690,2004,2,2004,4722798010690,4722786010690,1,1,13.2,1,46.576014,-114.983579,116.013,58,0,NA,NA,NA,NA,NA,700,218.391,50,299,1,NA,6.018046,NA,0,NA,NA,NA,NA,105
308,16_1_49_80045_1_30,16_1_49_80045,108,80045,1,49,16,4726500010690,2004,2,2004,4726539010690,4726503010690,1,1,5,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,22000,0,NA,NA,NA,117
353,16_1_49_80045_3_19,16_1_49_80045,108,80045,3,49,16,4726500010690,2004,2,2004,4726610010690,4726503010690,1,2,5.6,1,45.639982,-115.782832,259.3236,61,0,NA,NA,NA,NA,NA,700,611.1614,10,10,1,NA,6.018046,NA,NA,NA,NA,NA,NA,117
424,16_1_49_81221_2_1,16_1_49_81221,122,81221,2,49,16,4726961010690,2004,2,2004,4726978010690,4726964010690,1,1,14,1,45.288584,-116.427125,168.2324,54,0,NA,NA,NA,NA,NA,450,241.5124,38,70,1,NA,6.018046,NA,0,NA,NA,NA,NA,117
469,16_1_49_83525_1_3,16_1_49_83525,122,83525,1,49,16,4727530010690,2004,2,2004,4727542010690,4727533010690,1,1,26.3,1,45.98837,-114.803687,153.915,74,0,NA,NA,NA,NA,NA,450,190.2369,68,276,1,NA,6.018046,NA,0,NA,NA,NA,NA,117
488,16_1_49_83657_2_3,16_1_49_83657,108,83657,2,49,16,4727582010690,2004,2,2004,4727619010690,4727585010690,1,1,9.4,1,46.267759,-114.993931,134.128,38,0,NA,NA,NA,NA,NA,670,257.0672,55,352,1,NA,6.018046,NA,90005,0,NA,NA,NA,117
533,16_1_49_83908_1_16,16_1_49_83908,108,83908,1,49,16,4727741010690,2004,2,2004,4727767010690,4727744010690,1,2,15.6,1,45.773188,-115.26409,134.8194,59,12,2002,0,NA,NA,NA,700,303.875,51,120,1,NA,6.018046,2001,NA,NA,NA,10,NA,117
578,16_1_49_83908_4_6,16_1_49_83908,108,83908,4,49,16,4727741010690,2004,2,2004,4727827010690,4727744010690,1,2,11.1,1,45.773188,-115.26409,134.8194,59,12,2002,0,NA,NA,NA,700,303.875,51,120,1,NA,6.018046,2002,NA,NA,NA,10,NA,117
623,16_1_49_84082_2_18,16_1_49_84082,108,84082,2,49,16,4727926010690,2004,2,2004,4727983010690,4727929010690,1,1,9.4,1,45.750711,-115.626057,187.0521,54,0,NA,NA,NA,NA,NA,700,406.4443,25,295,1,NA,6.018046,NA,0,NA,NA,NA,NA,117
758,16_1_49_84684_4_19,16_1_49_84684,108,84684,4,49,16,4728182010690,2004,2,2004,4728243010690,4728185010690,1,1,8.8,1,45.910483,-115.338932,87.1721,62,22,2002,0,NA,NA,NA,670,154.6559,20,343,1,NA,6.018046,NA,0,NA,NA,NA,NA,117
803,16_1_49_85437_1_9,16_1_49_85437,108,85437,1,49,16,4728539010690,2004,2,2004,4728559010690,4728542010690,1,2,9.7,1,45.77628,-115.774104,137.7095,30,0,NA,NA,NA,NA,NA,735,235.6761,20,272,1,NA,6.018046,2002,NA,NA,NA,10,NA,117
1163,16_1_49_85715_1_10,16_1_49_85715,108,85715,1,49,16,4728713010690,2004,2,2004,4728732010690,4728716010690,1,1,11,1,45.64135,-115.457951,135.6006,49,12,9999,0,NA,NA,NA,670,257.0678,47,49,1,NA,6.018046,NA,90006,0,NA,NA,NA,117
1208,16_1_49_86091_2_8,16_1_49_86091,108,86091,2,49,16,4728863010690,2004,2,2004,4728884010690,4728867010690,2,2,5.3,1,46.267428,-115.309726,95.1522,68,0,NA,NA,NA,NA,NA,595,149.6185,43,156,0.390231,NA,6.018046,NA,NA,NA,NA,NA,NA,105
1523,16_1_49_84082_4_2,16_1_49_84082,108,84082,4,49,16,4727926010690,2004,2,2004,4728013010690,4727929010690,1,1,7.1,1,45.750711,-115.626057,187.0521,54,0,NA,NA,NA,NA,NA,700,406.4443,25,295,1,NA,6.018046,NA,0,NA,NA,NA,NA,117
1568,16_1_49_86539_1_7,16_1_49_86539,108,86539,1,49,16,4729068010690,2004,2,2004,4729085010690,4729071010690,1,1,12,1,46.407163,-115.313196,100.2471,53,0,NA,NA,NA,NA,NA,700,170.5025,45,286,1,NA,6.018046,NA,90005,0,NA,NA,NA,105
1928,16_1_49_83330_2_4,16_1_49_83330,108,83330,2,49,16,5387851010690,2005,2,2005,5387882010690,5387854010690,1,1,11.1,1,45.559653,-115.914329,94.4251,46,0,NA,NA,NA,NA,NA,700,189.2496,40,210,1,NA,6.018046,NA,0,NA,NA,NA,NA,117
1999,16_1_49_84131_4_4,16_1_49_84131,122,84131,4,49,16,5388385010690,2005,2,2005,5388409010690,5388389010690,2,1,7.2,1,45.822583,-116.102815,58.2346,58,0,NA,NA,NA,NA,NA,450,120.8407,12,274,0.199021,NA,6.018046,NA,0,NA,NA,NA,NA,117
