PLOT,SPCD,STATECD,PLT_CN,INVYR,CYCLE,MEASYEAR,COND_CN,CONDID,STATUSCD,COND_STATUS_CD,LAT,LON,BALIVE,SICOND,DSTRBCD1,DSTRBYR1,DSTRBCD2,DSTRBYR2,DSTRBCD3,DSTRBYR3,SDIMAX_RMRS,SDI_RMRS,SLOPE,ASPECT,CONDPROP_UNADJ,RECONCILECD,TPA_UNADJ,MORTYR,ADFORCD,TREESALL,TOTALDEAD,DEADPROP,INSECT,DISEASE,FIRE,disturbance_type
80015,101,16,31362828010690,2008,2,2008,31362831010690,1,2,1,45.599731,-115.98244,166.5874,55,0,NA,NA,NA,NA,NA,735,285.9927,40,345,1,NA,6.018046,2005,117,2,1,0.5,0,0,0,None
80018,101,16,5383612010690,2005,2,2005,5383616010690,2,1,1,44.423964,-114.517896,227.9937,27,0,NA,NA,NA,NA,NA,595,309.2323,65,129,0.25,NA,6.018046,NA,413,10,0,0,0,0,0,None
80048,101,16,4723582010690,2004,2,2004,4723585010690,1,1,2,44.138415,-114.566709,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,0.75,NA,6.018046,NA,414,7,0,0,0,0,0,None
80054,101,16,11798807010690,2006,2,2006,11798810010690,1,1,1,44.505732,-114.677871,133.0731,31,0,NA,NA,NA,NA,NA,470,169.0725,62,268,1,NA,6.018046,NA,413,6,1,0.16666666666666666,0,0,0,None
80085,101,16,31359810010690,2008,2,2008,31359813010690,1,1,1,44.460527,-114.435119,346.2406,35,10,9999,0,NA,NA,NA,670,524.7182,60,296,1,NA,6.018046,NA,413,15,3,0.2,1,0,0,INSECT
80134,101,16,11812701010690,2006,2,2006,11812704010690,1,2,1,44.647425,-115.300531,2.5999,44,32,2001,0,NA,NA,NA,700,4.9944,40,106,1,NA,6.018046,2001,413,11,11,1,0,0,1,FIRE
80151,101,16,12289101010690,2007,2,2007,12289104010690,1,2,1,44.245747,-115.751346,55.2609,36,0,NA,NA,NA,NA,NA,735,91.5379,65,5,1,NA,6.018046,2006,402,1,1,1,0,0,0,None
80163,101,16,35371633010690,2009,2,2009,39513990010690,1,1,1,43.720471,-113.859296,62.2368,NA,10,9999,0,NA,NA,NA,470,101.5064,38,306,1,NA,6.018046,NA,413,12,0,0,1,0,0,INSECT
80221,101,16,5386965010690,2005,2,2005,5386968010690,1,1,1,45.369877,-115.406421,119.3809,30,0,NA,NA,NA,NA,NA,735,230.7152,12,192,1,NA,6.018046,NA,412,16,4,0.25,0,0,0,None
80250,101,16,5387044010690,2005,2,2005,5387047010690,1,2,1,45.569791,-114.569639,0,NA,32,2001,0,NA,NA,NA,700,0,53,233,1,NA,6.018046,NA,103,1,1,1,0,0,1,FIRE
80278,101,16,40391504010690,2013,2,2013,273522244489998,1,2,1,45.052793,-115.284766,85.1451,23,0,NA,0,NA,0,NA,670,191.0248,75,92,1,NA,6.018046,NA,412,17,7,0.4117647058823529,0,0,0,None
80288,101,16,11798836010690,2006,2,2006,11798839010690,1,1,1,44.453885,-114.480217,95.2049,25,0,NA,NA,NA,NA,NA,470,191.7054,47,125,1,NA,6.018046,NA,413,25,8,0.32,0,0,0,None
80303,101,16,11806586010690,2006,2,2008,11806588010690,1,2,1,44.814151,-114.663375,80.8991,22,31,2007,0,NA,NA,NA,470,162.4724,39,282,1,NA,6.018046,2007,413,57,28,0.49122807017543857,0,0,1,FIRE
80357,101,16,35372607010690,2009,2,2009,39528127010690,1,2,1,44.747627,-115.740586,43.0792,42,0,NA,NA,NA,NA,NA,700,88.0164,60,126,1,NA,6.018046,NA,402,2,2,1,0,0,0,None
80379,101,16,12275795010690,2007,2,2007,12275798010690,1,1,1,44.597687,-115.117081,47.4102,33,0,NA,NA,NA,NA,NA,735,78.6053,47,146,1,NA,6.018046,NA,413,1,0,0,0,0,0,None
80383,101,16,5392508010690,2005,2,2005,5392511010690,1,1,1,44.582935,-113.521399,79.9772,18,0,NA,NA,NA,NA,NA,470,140.5932,59,88,0.75,NA,6.018046,NA,413,33,20,0.6060606060606061,0,0,0,None
80396,101,16,40390357010690,2011,2,2012,51042208020004,1,2,1,46.173066,-115.257142,88.5587,32,0,NA,0,NA,0,NA,735,164.2176,27,225,1,NA,6.018046,NA,117,7,7,1,0,0,0,None
80410,101,16,40390211010690,2013,2,2013,273519670489998,1,1,2,44.617849,-111.253104,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,1,NA,6.018046,NA,415,2,0,0,0,0,0,None
