TREE_COMPOSITE_ID,PLOT_COMPOSITE_ID,SPCD,PLOT,SUBP,COUNTYCD,STATECD,PLT_CN,INVYR,CYCLE,MEASYEAR,TREE_CN,COND_CN,CONDID,STATUSCD,DIA,COND_STATUS_CD,LAT,LON,BALIVE,SICOND,DSTRBCD1,DSTRBYR1,DSTRBCD2,DSTRBYR2,DSTRBCD3,DSTRBYR3,SDIMAX_RMRS,SDI_RMRS,SLOPE,ASPECT,CONDPROP_UNADJ,RECONCILECD,TPA_UNADJ,MORTYR,DAMAGE_AGENT_CD1,DAMAGE_AGENT_CD2,DAMAGE_AGENT_CD3,AGENTCD,PREV_STATUS_CD,ADFORCD,TREESALL,TOTALDEAD,DEADPROP
16_1_49_80990_4_2,16_1_49_80990,101,80990,4,49,16,37275887010690,2010,2,2011,42514536010690,42514498010690,1,2,9,1,45.990882,-114.932127,17.7205,29,0,NA,0,NA,0,NA,595,32.1447,43,250,1,NA,6.018046,NA,NA,NA,NA,NA,NA,117,4,4,1
16_1_49_81036_2_18,16_1_49_81036,101,81036,2,49,16,40390560010690,2012,2,2012,195370885020004,195370844020004,1,2,16.1,1,45.932262,-115.029978,65.4292,20,30,2008,0,NA,0,NA,735,134.8754,72,262,1,NA,6.018046,NA,NA,NA,NA,NA,NA,117,7,3,0.42857142857142855
16_1_49_82626_3_9,16_1_49_82626,101,82626,3,49,16,31364140010690,2008,2,2011,50637580020004,50637564020004,1,2,9.3,2,45.283861,-115.977758,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0.860482,NA,6.018046,NA,NA,NA,NA,NA,NA,412,15,11,0.7333333333333333
16_1_49_83199_2_2,16_1_49_83199,101,83199,2,49,16,5387840010690,2005,2,2008,31336104010690,5387842010690,1,2,10.6,1,45.541364,-114.76671,164.8794,30,0,NA,NA,NA,NA,NA,670,299.4288,53,350,1,NA,6.018046,NA,NA,NA,NA,NA,NA,103,17,14,0.8235294117647058
16_1_49_83333_2_7,16_1_49_83333,101,83333,2,49,16,40390482010690,2011,2,2011,51045009020004,51044992020004,1,2,6.4,1,45.562155,-115.713735,16.4903,37,0,NA,0,NA,0,NA,670,26.5606,100,140,1,NA,6.018046,NA,NA,NA,NA,NA,NA,117,14,12,0.8571428571428571
16_1_49_83802_1_3,16_1_49_83802,101,83802,1,49,16,35371973010690,2009,2,2009,39518481010690,39518470010690,1,2,10.4,1,45.224696,-115.76507,1.476,26,32,2007,0,NA,NA,NA,700,5.2585,30,265,1,NA,6.018046,NA,NA,NA,NA,NA,NA,412,3,3,1
16_1_49_85998_2_10,16_1_49_85998,101,85998,2,49,16,12280596010690,2007,2,2008,31348518010690,12280598010690,1,2,6.2,1,45.36859,-115.339297,0,NA,32,2007,0,NA,NA,NA,700,0,10,263,0.75,NA,6.018046,NA,NA,NA,NA,NA,NA,412,12,12,1
16_1_49_85998_4_10,16_1_49_85998,101,85998,4,49,16,12280596010690,2007,2,2008,31348529010690,12280598010690,1,2,6.3,1,45.36859,-115.339297,0,NA,32,2007,0,NA,NA,NA,700,0,10,263,0.75,NA,6.018046,NA,NA,NA,NA,NA,NA,412,12,12,1
16_1_49_86559_2_6,16_1_49_86559,101,86559,2,49,16,40390411010690,2013,2,2013,273530095489998,273530058489998,1,2,8.3,1,45.903173,-115.001918,64.779,30,12,2010,0,NA,0,NA,700,134.4336,21,254,1,NA,6.018046,2005,NA,NA,NA,10,NA,117,13,6,0.46153846153846156
16_1_49_83333_2_3,16_1_49_83333,101,83333,2,49,16,40390482010690,2011,2,2011,51045005020004,51044992020004,1,2,6.5,1,45.562155,-115.713735,16.4903,37,0,NA,0,NA,0,NA,670,26.5606,100,140,1,NA,6.018046,2005,NA,NA,NA,30,NA,117,14,12,0.8571428571428571
